#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,sxhkd,"binds key."
A,compton-tryone-git,"compositor with blur"
,xorg-xprop,"is a tool for detecting window properties"
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,scrot,"screencapper"
,imagemagick,"image editor"
,mpv,"video player." 
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio,"is the audio system (>inb4 bloat)."
,pulseaudio-alsa,"is an audio interface with ALSA."
,pulsemixer,"is an intuitive ncurses audio controller."
A,htop-vim-git,"provides system usage information and displays processes."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
A,urlscan,"parses URLs in the terminal allowing keyboard-based selection."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,xorg-xbacklight,"enables changing screen brightness levels."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
G,https://github.com/lukesmithxyz/st.git,"is my custom build of suckless's terminal emulator."
A,pcmanfm,"file browser"
,nicotine+,"soulseek!"
A,packup,"package backup script"
A,nerd-fonts-terminus,"my font of choice"
,sox,"the swiss army knife of sound processing tools"
,cmus,"music playerrrrr"
G,https://github.com/thomamason/dwm.git,"my build of suckless's DWM. w/ systray support, fibonnaci layout, and option for gaps."
,neovim,"its ya boi"
,pasystray,"pulseaudio systemtray icon"
,transmission-cli,"torrents"
,transmission-remote-cli-git,"torrents now with minimal effort"
,libxrandr,"screen detect"
A,siji-git,"emojis"
,network-manager-applet,"system tray network manager"
,pamixer,"sorts your audio right out"
,xorg-xsetroot,"this gives dwmbar life!"
A,brave-bin,"browser"
,dmenu,
